rxn00001	diphosphate phosphohydrolase
rxn00050	rxn00050
rxn00051	D-urobilinogen:oxygen oxidoreductase
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase
rxn00053	Prostaglandin H2:oxygen oxidoreductase
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase
rxn00056	Fe(II):oxygen oxidoreductase
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)
rxn00058	Ferrocytochrome-c:oxygen oxidoreductase
rxn00059	Benzenediol:oxygen oxidoreductase
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)
rxn00061	ATP diphosphohydrolase (phosphate-forming)
rxn00062	ATP phosphohydrolase
rxn00063	ATP diphosphohydrolase (diphosphate-forming)
rxn00064	ATP aminohydrolase
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)
rxn00066	NADH:hydrogen-peroxide oxidoreductase
rxn00067	CoA:NAD+ oxidoreductase
rxn00068	Fe2+:NAD+ oxidoreductase
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)
rxn00070	glutathione:NAD+ oxidoreductase
rxn00071	NADH:monodehydroascorbate oxidoreductase
rxn00072	NADH:cob(III)alamine oxidoreductase
rxn00073	rxn00073
rxn00074	cob(I)alamin:NAD+ oxidoreductase
rxn00075	NAD nucleosidase, mitochondrial
rxn00076	NAD+ phosphohydrolase
rxn00077	ATP:NAD+ 2'-phosphotransferase
rxn00078	ATP:NADH 2'-phosphotransferase
rxn00079	NADPH:ferricytochrome oxidoreductase
rxn00080	cob(II)alamin:NADP+ oxidoreductase
rxn00081	rxn00081
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase
rxn00083	NADPH:NAD+ oxidoreductase
rxn00084	NADPH:hydrogen-peroxide oxidoreductase
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)
rxn00086	glutathione:NADP+ oxidoreductase
rxn00087	NADPH:CoA-glutathione oxidoreductase
rxn00088	NADP+ 2'-phosphohydrolase
rxn00089	NADP+ glycohydrolase
rxn00090	glutathione:oxygen oxidoreductase
rxn00091	rxn00091
rxn00092	ADP phosphohydrolase
rxn00093	ADP aminohydrolase
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase
rxn00096	ADP:ATP adenylyltransferase
rxn00097	ATP:AMP phosphotransferase
rxn00098	Adenosine-tetraphosphate phosphohydrolase
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase
rxn00101	Urea amidohydrolase
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)
rxn00103	formate:NADP+ oxidoreductase
rxn00104	polyphosphate kinase
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase
rxn00106	Triphosphate phosphohydrolase
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase
rxn00109	ammonia:NAD+ oxidoreductase
rxn00110	Nitrogenous compounds,NADH:oxygen oxidoreductase (3-hydroxylating,
rxn00111	Nitrogenous compounds,NADPH:oxygen oxidoreductase (3-hydroxylating,
rxn00112	rxn00112
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)
rxn00114	ATP:carbamate phosphotransferase
rxn00115	R00152
rxn00116	UDP phosphohydrolase
rxn00117	ATP:UDP phosphotransferase
rxn00118	Uridine triphosphate:AMP phosphotransferase
rxn00119	ATP:UMP phosphotransferase
rxn00120	UTP phosphohydrolase
rxn00121	FAD nucleotidohydrolase
rxn00122	ATP:FMN adenylyltransferase
rxn00123	pyridoxal-5'-phosphate phosphohydrolase
rxn00124	ATP:pyridoxal 5'-phosphotransferase
rxn00125	S-Adenosyl-L-methionine hydrolase
rxn00126	ATP:L-methionine S-adenosyltransferase
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)
rxn00130	AMP aminohydrolase
rxn00131	AMP phosphoribohydrolase
rxn00132	Adenosine 5'-monophosphate phosphohydrolase
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase
rxn00134	ATP:adenosine 5'-phosphotransferase
rxn00135	(S)-Lactate adenylohydrolase
rxn00136	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase
rxn00141	S-Adenosyl-L-homocysteine hydrolase
rxn00142	S-Adenosyl-L-homocysteine aminohydrolase
rxn00143	S-Adenosyl-L-homocysteine homocysteinylribohydrolase
rxn00144	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)
rxn00145	(S)-Lactate:ferricytochrome-c 2-oxidoreductase
rxn00146	(R)-Lactate:ferricytochrome-c 2-oxidoreductase
rxn00147	ATP:pyruvate,water phosphotransferase
rxn00148	ATP:pyruvate 2-O-phosphotransferase
rxn00149	pyruvaldehyde:NAD+ oxidoreductase
rxn00150	2-Oxopropanal:NADP+ oxidoreductase
rxn00151	ATP:pyruvate,phosphate phosphotransferase
rxn00152	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)
rxn00153	Phosphoenolpyruvate phosphohydrolase
rxn00154	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)
rxn00155	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)
rxn00156	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)
rxn00157	Acetyl-CoA:formate C-acetyltransferase
rxn00158	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)
rxn00159	(S)-malate:NAD+ oxidoreductase (decarboxylating)
rxn00160	(R)-Malate:NAD+ oxidoreductase (decarboxylating)
rxn00161	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)
rxn00162	oxaloacetate carboxy-lyase (pyruvate-forming)
rxn00163	acetylenedicarboxylate carboxy-lyase (pyruvate-forming)
rxn00164	2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)
rxn00165	L-serine ammonia-lyase
rxn00166	D-serine ammonia-lyase
rxn00168	pyruvate carboxy-lyase (acetaldehyde-forming)
rxn00170	Acetyl-CoA hydrolase
rxn00171	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)
rxn00172	Acetate:CoA ligase (ADP-forming)
rxn00173	acetyl-CoA:phosphate acetyltransferase
rxn00174	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)
rxn00175	Acetate:CoA ligase (AMP-forming)
rxn00176	acetyl adenylate:CoA acetyltransferase
rxn00177	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)
rxn00178	Acetyl-CoA:acetyl-CoA C-acetyltransferase
rxn00179	ATP:L-glutamate 5-phosphotransferase
rxn00180	Glutamate 5-kinase
rxn00181	ATP:L-glutamate 1-phosphotransferase
rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)
rxn00183	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase
rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)
rxn00185	L-Glutamate:oxygen oxidoreductase (deaminating)
rxn00186	5-oxo-L-proline amidohydrolase (ATP-hydrolysing)
rxn00187	L-Glutamate:ammonia ligase (ADP-forming)
rxn00188	N-carbamyl-L-glutamate amidohydrolase
rxn00189	L-Glutamine amidohydrolase
rxn00190	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)
rxn00191	L-Alanine:2-oxoglutarate aminotransferase
rxn00192	acetyl-CoA:L-glutamate N-acetyltransferase
rxn00193	glutamate racemase
rxn00194	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)
rxn00195	L-threo-3-Methylaspartate carboxy-aminomethylmutase
rxn00196	2,5-dioxopentanoate:NADP+ 5-oxidoreductase
rxn00197	2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)
rxn00198	Isocitrate:NADP+ oxidoreductase (decarboxylating)
rxn00199	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)
rxn00200	2-oxoglutaramate amidohydrolase
rxn00201	R00270
rxn00202	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)
rxn00203	2-Oxoglutarate carboxy-lyase
rxn00204	oxalate:oxygen oxidoreductase
rxn00205	glutathione:hydrogen-peroxide oxidoreductase
rxn00206	superoxide:superoxide oxidoreductase
rxn00207	Carbon-monoxide:oxygen oxidoreductase
rxn00208	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)
rxn00209	Pyridoxine 5-phosphate:oxygen oxidoreductase
rxn00210	D-Glutamate:oxygen oxidoreductase (deaminating)
rxn00211	UDP-glucose:NAD+ 6-oxidoreductase
rxn00212	UDP-glucose glucophosphohydrolase
rxn00213	UTP:alpha-D-glucose-1-phosphate uridylyltransferase
rxn00214	UDP-glucose 4-epimerase
rxn00215	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)
rxn00216	ATP:D-glucose 6-phosphotransferase
rxn00217	D-Glucose:NAD+ 1-oxidoreductase
rxn00218	D-Glucose:NADP+ 1-oxidoreductase
rxn00219	D-glucose:oxygen 2-oxidoreductase
rxn00220	D-Glucose-6-phosphate phosphohydrolase
rxn00221	D-Glucose-1-phosphate phosphohydrolase
rxn00222	cellobiose glucohydrolase
rxn00223	D-glucose aldose-ketose-isomerase
rxn00224	protoheme ferro-lyase (protoporphyrin-forming)
rxn00225	ATP:acetate phosphotransferase
rxn00226	ATP:acetate adenylyltransferase
rxn00227	Acetyl phosphate phosphohydrolase
rxn00228	Phosphonoacetate phosphonohydrolase
rxn00229	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)
rxn00230	diphosphate:acetate phosphotransferase
rxn00231	Acetamide amidohydrolase
rxn00232	5'-acetylphosphoadenosine acetylhydrolase
rxn00233	2,4-dioxopentanoate acetylhydrolase
rxn00234	(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming)
rxn00235	6-Acetyl-D-glucose acetylhydrolase
rxn00236	GDP phosphohydrolase
rxn00237	ATP:GDP phosphotransferase
rxn00238	ATP:nucleoside-diphosphate phosphotransferase
rxn00239	ATP:GMP phosphotransferase
rxn00240	nucleoside-triphosphate:AMP phosphotransferase
rxn00241	GTP phosphohydrolase
rxn00242	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase
rxn00243	GDP-glucose glucohydrolase
rxn00244	Oxaloacetate acetylhydrolase
rxn00245	(R,R)-tartrate hydro-lyase (oxaloacetate-forming)
rxn00247	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
rxn00248	(S)-malate:NAD+ oxidoreductase
rxn00249	(S)-malate:NADP+ oxidoreductase
rxn00250	Pyruvate:carbon-dioxide ligase (ADP-forming)
rxn00251	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)
rxn00252	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)
rxn00253	erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)
rxn00254	2-oxosuccinamate amidohydrolase
rxn00255	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)
rxn00256	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)
rxn00257	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]
rxn00258	Malonyl-CoA:pyruvate carboxytransferase
rxn00259	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)
rxn00260	L-Aspartate:2-oxoglutarate aminotransferase
rxn00261	rxn00261
rxn00262	L-Aspartic acid:oxygen oxidoreductase (deaminating)
rxn00263	D-Aspartate:oxygen oxidoreductase (deaminating)
rxn00264	(S)-Malate:oxygen oxidoreductase
rxn00265	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate)
rxn00266	Oxaloacetate keto-enol-isomerase
rxn00267	Glycine:ferricytochrome-c oxidoreductase (deaminating)
rxn00268	glycine:NAD+ oxidoreductase (deaminating)
rxn00269	glycine:oxygen oxidoreductase (deaminating)
rxn00270	S-Adenosyl-L-methionine:glycine N-methyltransferase
rxn00271	N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming)
rxn00272	L-Alanine:glyoxylate aminotransferase
rxn00273	Acetyl-CoA:glycine C-acetyltransferase
rxn00274	Acetyl-CoA:glycine C-acetyltransferase
rxn00275	Glycine:2-oxoglutarate aminotransferase
rxn00276	Glycine:oxaloacetate aminotransferase
rxn00277	rxn00277
rxn00278	L-Alanine:NAD+ oxidoreductase (deaminating)
rxn00279	L-aspartate 4-carboxy-lyase (L-alanine-forming)
rxn00280	2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)
rxn00281	rxn00281
rxn00282	L-alanine:oxaloacetate aminotransferase
rxn00283	alanine racemase
rxn00284	succinate:NAD+ oxidoreductase
rxn00285	Succinate:CoA ligase (ADP-forming)
rxn00286	succinyl-CoA:malate CoA-transferase
rxn00287	Succinyl-CoA hydrolase
rxn00288	Succinate:(acceptor) oxidoreductase
rxn00289	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)
rxn00290	succinyl-CoA:acetoacetate CoA-transferase
rxn00291	N-succinyl-L-glutamate amidohydrolase
rxn00292	UDP-N-acetyl-D-glucosamine 2-epimerase
rxn00293	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase
rxn00295	UDP-N-acetyl-D-glucosamine 4-epimerase
rxn00296	rxn00296
rxn00297	UDP-N-acetyl-D-glucosamine 2-epimerase
rxn00298	UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase
rxn00299	GTP 7,8-8,9-dihydrolase
rxn00300	GTP 7,8-8,9-dihydrolase (diphosphate-forming)
rxn00301	GTP diphosphohydrolase (diphosphate-forming)
rxn00302	GTP 8,9-hydrolase
rxn00303	ATP:GTP 3'-diphosphotransferase
rxn00304	GTP:pyruvate 2-O-phosphotransferase
rxn00305	GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming)
rxn00306	Succinate:CoA ligase (GDP-forming)
rxn00307	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)
rxn00308	L-lysine:NAD+ oxidoreductase (deaminating, cyclizing)
rxn00309	L-Lysine:NAD+ 6-oxidoreductase (deaminating)
rxn00310	L-lysine:oxygen 2-oxidoreductase (deaminating)
rxn00311	L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)
rxn00312	L-Lysine:oxygen 2-oxidoreductase (decarboxylating)
rxn00313	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)
rxn00314	N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)
rxn00315	L-Lysine:pyruvate aminotransferase
rxn00316	acetyl-CoA:L-lysine N6-acetyltransferase
rxn00317	L-Lysine:2-oxoglutarate 6-aminotransferase
rxn00318	N6-acetyl-L-lysine amidohydrolase
rxn00319	rxn00319
rxn00320	lysine racemase
rxn00321	L-Lysine 2,3-aminomutase
rxn00322	L-lysine carboxy-lyase (cadaverine-forming)
rxn00323	L-Lysine-1,6-lactam lactamhydrolase
rxn00324	glycolate:NADP+ oxidoreductase
rxn00325	Glyoxylate:oxygen oxidoreductase
rxn00326	Glyoxylate:NADP+ oxidoreductase (CoA-oxalylating)
rxn00327	(S)-ureidoglycolate amidohydrolase (decarboxylating)
rxn00328	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)
rxn00330	acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)
rxn00331	(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)
rxn00332	2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating)
rxn00333	Glycolate:oxygen 2-oxidoreductase
rxn00334	3-oxalomalate glyoxylate-lyase (oxaloacetate-forming)
rxn00335	erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)
rxn00336	isocitrate glyoxylate-lyase (succinate-forming)
rxn00337	ATP:L-aspartate 4-phosphotransferase
rxn00338	L-aspartate:oxygen oxidoreductase
rxn00339	L-Aspartate:ammonia ligase (ADP-forming)
rxn00340	L-aspartate:ammonia ligase (AMP-forming)
rxn00341	N-Carbamoyl-L-aspartate amidohydrolase
rxn00342	L-Asparagine amidohydrolase
rxn00343	3-Cyano-L-alanine aminohydrolase
rxn00344	Acetyl-CoA:L-aspartate N-acetyltransferase
rxn00345	N-Acetyl-L-aspartate amidohydrolase
rxn00346	L-aspartate 1-carboxy-lyase (beta-alanine-forming)
rxn00347	L-Aspartate ammonia-lyase
rxn00348	aspartate racemase
rxn00349	rxn00349
rxn00350	glutathione gamma-glutamylaminopeptidase
rxn00351	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)
rxn00352	S-Succinylglutathione hydrolase
rxn00353	rxn00353
rxn00354	UDP-D-galactose:NAD+ 6-oxidoreductase
rxn00355	UTP:alpha-D-galactose-1-phosphate uridylyltransferase
rxn00356	UDP-galactose:D-glucose 4-beta-D-galactosyltransferase
rxn00357	UDP-galactose:UDP-N-acetyl-D-glucosamine galactose phosphotransferase
rxn00358	UDP-D-galactopyranose furanomutase
rxn00359	3'-phosphoadenylyl-sulfate sulfohydrolase
rxn00360	3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase
rxn00361	ATP:adenylylsulfate 3'-phosphotransferase
rxn00362	Cytidine-5'-monophosphate phosphoribohydrolase
rxn00363	Cytidine-5'-monophosphate phosphohydrolase
rxn00364	ATP:CMP phosphotransferase
rxn00365	ATP:cytidine 5'-phosphotransferase
rxn00366	CDP phosphohydrolase
rxn00367	CTP diphosphohydrolase (diphosphate-forming)
rxn00368	UTP:cytidine 5'-phosphotransferase
rxn00369	GTP:cytidine 5'-phosphotransferase
rxn00370	ATP:formate phosphotransferase
rxn00371	Formate:NAD+ oxidoreductase
rxn00372	Formyl-CoA hydrolase
rxn00373	Oxalate carboxy-lyase
rxn00374	Formamide amidohydrolase
rxn00375	N-Formyl-L-glutamate amidohydrolase
rxn00376	N-Formyl-L-aspartate amidohydrolase
rxn00377	S-Formylglutathione hydrolase
rxn00378	Sulfite:ferricytochrome-c oxidoreductase
rxn00379	ATP:sulfate adenylyltransferase
rxn00380	ADP:sulfate adenylyltransferase
rxn00381	Adenylylsulfate sulfohydrolase
rxn00382	L-Serine-O-sulfate ammonia-lyase (pyruvate-forming)
rxn00383	Sulfite:oxygen oxidoreductase
rxn00384	D-Glucose 6-sulfate sulfohydrolase
rxn00385	3'-Phosphoadenylylsulfate:17beta-estradiol 3-sulfotransferase
rxn00386	3'-Phosphoadenylylsulfate:phenolic-steroid sulfotransferase
rxn00387	3'-Phosphoadenylylsulfate:phenolic-steroid sulfotransferase
rxn00388	Nitrile aminohydrolase
rxn00389	N6-Acyl-L-lysine amidohydrolase
rxn00390	N-Acyl-L-aspartate amidohydrolase
rxn00391	riboflavin-5-phosphate phosphohydrolase (acid optimum)
rxn00392	ATP:riboflavin 5'-phosphotransferase
rxn00393	D-Glucose-1-phosphate:riboflavin 5'-phosphotransferase
rxn00394	L-Arginine amidinohydrolase
rxn00395	L-Arginine iminohydrolase
rxn00396	ATP:L-arginine Nomega-phosphotransferase
rxn00397	NAD+:L-arginine ADP-D-ribosyltransferase
rxn00398	ARG-OXIDATION-RXN.c
rxn00399	L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)
rxn00400	L-Arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)
rxn00401	L-Arginine:oxygen 2-oxidoreductase (decarboxylating)
rxn00402	N2-(D-1-carboxyethyl)-L-arginine:NAD+ oxidoreductase (L-arginine-forming)
rxn00403	N2-(D-1,3-dicarboxypropyl)-L-arginine:NADP+ oxidoreductase (L-arginine-forming)
rxn00404	L-Arginine:glycine amidinotransferase
rxn00405	L-arginine carboxy-lyase (agmatine-forming)
rxn00406	arginine racemase
rxn00407	CTP aminohydrolase
rxn00408	CTP phosphohydrolase
rxn00409	ATP:CDP phosphotransferase
rxn00410	UTP:ammonia ligase (ADP-forming)
rxn00411	CTP:pyruvate 2-O-phosphotransferase
rxn00412	UTP:L-glutamine amido-ligase (ADP-forming)
rxn00413	CTP diphosphate-lyase (cyclizing; 3',5'-cyclic-CMP-forming)
rxn00414	hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)
rxn00415	L-Glutamine:pyruvate aminotransferase
rxn00416	L-aspartate:L-glutamine amido-ligase (AMP-forming)
rxn00417	glutamine racemase
rxn00418	ENTF-RXN.c
rxn00419	L-serine:NAD+ oxidoreductase (deaminating)
rxn00420	O-phospho-L-serine phosphohydrolase
rxn00421	diphosphate:L-serine O-phosphotransferase
rxn00422	L-Serine:pyruvate aminotransferase
rxn00423	acetyl-CoA:L-serine O-acetyltransferase
rxn00424	L-Serine:glyoxylate aminotransferase
rxn00425	serine racemase
rxn00426	L-Serine hydro-lyase
rxn00427	methanol:hydrogen-peroxide oxidoreductase
rxn00428	dichloromethane chloride-lyase (adding H2O; chloride-hydrolysing; formaldehyde-forming)
rxn00429	Formaldehyde:NAD+ oxidoreductase
rxn00430	methanol:NAD+ oxidoreductase
rxn00431	Methylamine:(acceptor) oxidoreductase (deaminating)
rxn00432	Methanol:oxygen oxidereductase
rxn00433	sarcosine:oxygen oxidoreductase (demethylating)
rxn00434	N6-Methyl-L-lysine:oxygen oxidoreductase (demethylating)
rxn00435	Formaldehyde:formaldehyde oxidoreductase
rxn00436	Thiamin diphosphate phosphohydrolase
rxn00437	ATP:thiamine-diphosphate phosphotransferase
rxn00438	ATP:thiamin-phosphate phosphotransferase
rxn00439	Thiamin-triphosphate phosphohydrolase
rxn00440	ATP:thiamine diphosphotransferase
rxn00441	R00621
rxn00442	alpha-ketoglutarate decarboxylase
rxn00443	L-Galactono-1,4-lactone:ferricytochrome-c oxidoreductase
rxn00444	L-ascorbate:hydrogen-peroxide oxidoreductase
rxn00445	L-Galactono-1,4-lactone:oxygen 3-oxidoreductase
rxn00447	R_ascorbate_acceptor_oxidoreductase
rxn00448	R00646
rxn00449	R00647
rxn00450	L-Methionine:oxygen oxidoreductase (deaminating)
rxn00451	S-Adenosyl-L-methionine:L-methionine S-methyltransferase
rxn00452	S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase
rxn00453	O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase
rxn00454	L-Methionine:glyoxylate aminotransferase
rxn00455	N-Formyl-L-methionine amidohydrolase
rxn00456	L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)
rxn00457	methionine racemase
rxn00458	L-methionine carboxy-lyase (3-methylthiopropanamine-forming)
rxn00459	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)
rxn00460	UTP:pyruvate 2-O-phosphotransferase
rxn00461	Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase
rxn00462	phosphoenolpyruvate 2,3-phosphonomutase
rxn00463	Uridine triphosphate pyrophosphohydrolase
rxn00464	Bezoyl-CoA:L-ornithine N-benzoyltransferase
rxn00465	L-Citrulline N5-carbamoyldihydrolase
rxn00466	N5-(L-1-carboxyethyl)-L-ornithine:NADP+ oxidoreductase (L-ornithine-dorming)
rxn00467	L-Ornithine:2-oxo-acid aminotransferase
rxn00468	L-ornithine:2-oxoglutarate aminotransferase
